CaseName,Val_1,Val_2,Val_3,Val_A,Val_B,Val_C,Val_X,Val_Y,Val_Z,Val_I1,Val_I2,Val_I3
Case 1,0.100332,0.0,0.98787,17.503025,0.909522,17.603357,0.909522,0.0057,0.0,1.0,1.0,2.0
Case 3,0.181429,0.0,0.990798,17.639748,0.909522,17.821177,0.909522,0.010181,0.0,1.0,1.0,2.0
Case 4,0.085756,0.043437,0.987276,14.359983,0.781869,14.274227,0.738432,0.006008,0.0470584,2.0,1.0,2.0
Case 5,0.115921,0.003103,0.989815,14.208726,0.741535,14.324647,0.738432,0.01076236,0.0033616,2.0,1.0,2.0
Case 6,0.040202,0.02358,0.981811,13.713102,0.67372,13.753304,0.647519,0.002923,0.0323704,2.0,2.0,2.0
Case 7,0.033271,0.0033687,0.991106,13.444857,,13.411586,0.5021460600000001,0.002481,0.0046512,2.0,1.0,2.0
Case 8,0.178138,0.0,0.74010975,12.632495,0.658748,12.810633,0.658748,0.013905,0.0,2.0,1.0,2.0
Case 9,0.154571,0.018714,0.988623,5.8126805,0.587633,11.470791,0.568919,0.013475,0.026316000000000003,2.0,1.0,2.0
Case 10,0.036043,0.0033687,0.989691,11.888755,0.7410912,11.852712,0.613833,0.003041,0.004878400000000001,2.0,1.0,2.0
Case 11,0.135163,0.022457,0.98881,11.959455,0.7904976,11.824292,0.636291,0.011431,0.028235200000000002,2.0,1.0,2.0
Case 12,0.126845,0.0,0.98668,13.541896,0.7904976,13.668741,0.658748,0.00928,0.0,2.0,1.0,2.0
Case 13,0.110556,0.016178,0.987743,14.959352,0.695676,14.848796,0.679497,0.007445,0.0190472,3.0,1.0,3.0
Case 14,0.188079,0.0,0.73804725,11.981098,0.634197,12.169177,0.634197,0.015455,0.0,3.0,2.0,3.0
Case 15,0.011243,0.003519,0.991773,11.138244,0.633498,11.127001,0.629978,0.0013433000000000002,0.0044696,1.0,1.0,3.0
Case 16,0.08652,0.003519,0.991776,12.266928,0.591264,12.180408,0.587745,0.007103,0.0047904,1.0,1.0,3.0
Case 17,0.197483,0.0,0.98722,13.29296,0.77709,13.490443,0.647575,0.014639,0.0,1.0,1.0,3.0
Case 18,0.183222,0.0,0.987167,17.883265,0.817886,18.066486,0.817886,0.010142,0.0,1.0,1.0,3.0
Case 19,0.096904,0.004397,0.991231,13.69685,0.778311,13.599946,0.773914,0.007125,0.0045456,1.0,1.0,3.0
Case 20,0.245924,0.0,0.7403595,15.923199,0.804694,16.169123,0.804694,0.015209,0.0,1.0,1.0,3.0
Case 21,0.163677,0.004397,0.987883,16.799406,0.9181427999999999,16.963083,0.760722,0.009649,0.0046240000000000005,1.0,1.0,3.0
Case 22,0.228008,,0.74301,17.817305,0.95508,17.589296,,0.012963,0.0180792,,1.0,2.0
Case 23,0.273611,0.0,0.73987275,17.208195,0.817886,17.481806,0.817886,0.015651,0.0,2.0,1.0,2.0
Case 24,0.055373,0.004397,0.991029,13.980232,0.95508,13.924859,0.791503,0.003977,0.0044448000000000005,2.0,1.0,2.0
Case 25,0.140062,0.030781,0.98493,14.845039,0.707955,14.704977,0.677174,0.009525,0.036363200000000005,2.0,2.0,2.0
Case 26,0.021173,0.0,0.990375,12.016095,0.637599,11.994923,0.637599,0.001765,0.0,2.0,1.0,2.0
Case 27,0.236967,0.0,0.739353,15.004646,0.637599,15.241613,0.637599,0.015547,0.0,2.0,1.0,2.0
Case 28,0.293156,0.004397,0.738945,14.41345,0.681572,14.706606,0.677174,0.019934,0.0051944,2.0,1.0,2.0
Case 29,,0.003103,,8.0380515,0.741535,16.20998,0.738432,0.008259,0.0033616,1.0,1.0,2.0
Case 30,0.037922,0.002565142857142857,0.990869,16.790302,0.9605819999999999,16.879956285714286,0.797383,0.002264,0.0031128,1.0,1.0,2.0
Case 31,0.04181,0.002509,0.987478,15.995454,0.780153,16.037264,0.777645,0.002607,0.0025808000000000003,1.0,1.0,2.0
Case 32,0.049243,0.002508,0.99214,15.520218,0.689846,15.470975,0.53612286,0.003183,0.0029200000000000003,1.0,1.0,2.0
