index,column,original_value,modified_value,difference_percentage
1,Val_1,0.105011,0.181429,0.7277142394606281
2,Val_1,0.181429,0.085756,0.5273302504009834
3,Val_1,0.085756,0.115921,0.3517538131442698
4,Val_1,0.115921,0.040202,0.653194848215595
5,Val_1,0.040202,0.033271,0.17240435799213968
6,Val_1,0.033271,0.178138,4.354152264735054
7,Val_1,0.178138,0.154571,0.13229630960266764
8,Val_1,0.154571,0.036043,0.7668191316611784
9,Val_1,0.036043,0.135163,2.7500485531171104
11,Val_1,0.126845,0.110556,0.12841657140604684
12,Val_1,0.110556,0.188079,0.7012102463909692
13,Val_1,0.188079,0.011243,0.9402219280196088
14,Val_1,0.011243,0.08652,6.695454949746509
15,Val_1,0.08652,0.197483,1.2825127138233934
17,Val_1,0.183222,0.096904,0.4711115477399002
18,Val_1,0.096904,0.245924,1.5378106166928092
19,Val_1,0.245924,0.163677,0.33444072152372284
20,Val_1,0.163677,0.228008,0.3930362848781442
21,Val_1,0.228008,0.273611,0.20000614013543389
22,Val_1,0.273611,0.055373,0.7976214406584531
23,Val_1,0.055373,0.140062,1.5294276994202949
24,Val_1,0.140062,0.021173,0.8488312318830232
25,Val_1,0.021173,0.236967,10.191942568365372
26,Val_1,0.236967,0.293156,0.23711740453312072
28,Val_1,0.133877,0.037922,0.7167399926798479
29,Val_1,0.037922,0.04181,0.10252623806761255
30,Val_1,0.04181,0.049243,0.17778043530255924
31,Val_1,0.049243,0.12543,1.5471640639278679
32,Val_1,0.100344,0.164436,0.6387227935900501
33,Val_1,0.164436,0.204693,0.24481865284974103
34,Val_1,0.204693,0.233313,0.13981914379094534
35,Val_1,0.233313,0.426075,0.8261948541230021
36,Val_1,0.426075,0.157827,0.6295792994191164
38,Val_1,0.148472,0.36026,1.4264507785979852
39,Val_1,0.288208,0.033964,0.8821545550435796
40,Val_1,0.033964,0.153585,3.5219938758685667
42,Val_1,0.15979,0.123591,0.22654108517429117
43,Val_1,0.123591,0.041437,0.6647247776941687
44,Val_1,0.041437,0.133282,2.216497333301156
46,Val_1,0.12602,0.141827,0.12543247103634356
48,Val_1,0.011961,0.002848,0.7618928183262269
49,Val_1,0.002848,0.072621,24.498946629213485
50,Val_1,0.072621,0.099202,0.36602360198840544
51,Val_1,0.099202,0.118663,0.19617548033305787
52,Val_1,0.119137,0.295525,1.4805476048582722
53,Val_1,0.045329,0.130798,1.885525822321251
54,Val_1,0.118663,0.135712,0.14367578773501424
55,Val_1,0.23642,0.107464,0.5454530073597834
56,Val_1,0.130798,0.235397,0.7996987721524794
57,Val_1,0.135712,0.024784,0.8173779768922423
58,Val_1,0.107464,0.011409,0.8938342142484925
59,Val_1,0.235397,0.052716,0.776054919986236
60,Val_1,0.024784,0.08372125,2.378036233053583
61,Val_1,0.011409,0.00219375,0.8077175913752301
62,Val_1,0.052716,0.061994,0.17599969648683514
63,Val_1,0.066977,0.083632,0.24866745300625595
64,Val_1,0.001755,0.080123,44.65413105413105
66,Val_1,0.083632,0.156582,0.8722737708054333
68,Val_1,0.047372,0.16531500000000002,2.4897196656252643
69,Val_1,0.156582,0.089207,0.4302857288832689
70,Val_1,0.076731,0.015594,0.7967705360284631
71,Val_1,0.008734,0.070249,7.043164643920312
72,Val_1,0.132252,0.036548,0.7236487917006926
73,Val_1,0.089207,0.019936,0.7765197798379051
74,Val_1,0.015594,0.120561,6.731242785686803
75,Val_1,0.070249,0.131952,0.8783470227334197
76,Val_1,0.036548,0.099202,1.7142935317938055
77,Val_1,0.019936,0.121613,5.100170545746389
78,Val_1,0.120561,0.0557575,0.5375162780667048
79,Val_1,0.131952,0.082641,0.3737040742088032
80,Val_1,0.099202,0.152645,0.5387290578818976
81,Val_1,0.121613,0.05217,0.5710162564857376
82,Val_1,0.044606,0.122116,1.7376586109491996
83,Val_1,0.082641,0.138281,0.6732735567091392
84,Val_1,0.152645,0.086776,0.4315175734547479
85,Val_1,0.05217,0.196506,2.766647498562392
86,Val_1,0.122116,0.004181,0.9657620623014183
87,Val_1,0.138281,0.028337,0.7950766916640754
89,Val_1,0.196506,0.23602,0.20108291858772773
90,Val_1,0.004181,0.032466,6.7651279598182255
91,Val_1,0.028337,0.150866,4.323993365564456
92,Val_1,0.09099,0.182981,1.0110012089240576
93,Val_1,0.188816,0.130583,0.30841136344377595
94,Val_1,0.032466,0.004974,0.8467935686564406
95,Val_1,0.150866,1.069588,6.089655720970928
96,Val_1,0.182981,0.137762,0.24712401834070208
97,Val_1,0.130583,0.058224,0.5541226652780225
98,Val_1,0.004974,0.102411,19.589264173703256
99,Val_1,1.069588,0.1527075,0.8572277362872434
100,Val_1,0.137762,0.062983,0.5428129672914156
101,Val_1,0.058224,0.037285,0.3596283319593295
102,Val_1,0.102411,0.233589,1.2808975598324397
103,Val_1,0.122166,0.052679,0.5687916441563119
104,Val_1,0.062983,0.6775364747468368,9.757450022177997
105,Val_1,0.037285,0.7179859935634314,18.256698231552406
106,Val_1,0.233589,0.36183509707674444,0.5490245562793815
107,Val_1,0.052679,0.8095820185970475,14.36821159469708
108,Val_1,0.137935,0.7521622490756228,4.453019531486735
3,Val_2,0.043437,0.003103,0.9285632064829523
4,Val_2,0.003103,0.02358,6.599097647437964
5,Val_2,0.0262,0.0033687,0.8714236641221375
6,Val_2,0.003743,0.0,1.0
8,Val_2,0.018714,0.0033687,0.8199903815325424
9,Val_2,0.003743,0.022457,4.999732834624633
